OBJECTID,plotname,Shape_Length,Shape_Area,Longdd,Latdd
298,FWS 59_1_2_na,58564.452968420555000,11587184.628941789000000,-86.673334143866128,54.533330924300024
299,FWS 59_1_3_na,57708.691887305977000,11416033.348493533000000,-87.116669667117336,54.533330923888769
300,FWS 59_1_4_na,58991.475546518304000,11672588.039835686000000,-87.561669364967216,54.533330924431787
301,FWS 59_1_5_na,58563.227653019487000,11586939.168011457000000,-88.009999276258299,54.533330924452230
302,FWS 59_1_6_na,57922.813610760903000,11458852.785650479000000,-88.454164627593030,54.533330925434754
303,FWS 59_1_7_na,57922.813528783772000,11458858.548497926000000,-88.895833976829380,54.533330924052173
304,FWS 59_1_8_na,57494.566006877722000,11373208.603524948000000,-89.335834499626159,54.533330923938642
305,FWS 59_1_9_na,58350.081629264663000,11544311.021885345000000,-89.777499958907171,54.533330919430853
306,FWS 59_2_1_na,58213.562783548943000,11517002.783582022000000,-86.224999776571593,55.050001144186872
307,FWS 59_2_2_na,58213.803733255132000,11517056.638569843000000,-86.674999245655997,55.050001151758167
308,FWS 59_2_3_na,58635.073183311739000,11601308.766973704000000,-87.126664178938569,55.050001151847241
309,FWS 59_2_4_na,57792.291088727819000,11432752.778208513000000,-87.576663990643993,55.050001151844775
310,FWS 59_2_5_na,58213.801929319459000,11517056.551970931000000,-88.024999622581390,55.050001152000924
311,FWS 59_2_6_na,58213.559799794828000,11517005.169706123000000,-88.474999521651455,55.050001152826049
312,FWS 59_2_7_na,58213.801177098496000,11517057.109117977000000,-88.924999233726595,55.050001151734371
313,FWS 59_2_8_na,58213.800998183091000,11517054.785614841000000,-89.374999985000528,55.050001151210836
314,FWS 59_2_9_na,51885.089721321739000,10251312.418444688000000,-89.800000031863533,55.050001145799740
315,FWS 59_3_1_na,57585.716908758382000,11391434.640593011000000,-86.224999780927703,55.466669082588247
316,FWS 59_3_2_na,59671.473856333818000,11808590.240153011000000,-86.683329602368929,55.466669090612477
317,FWS 59_3_3_na,57586.909582767083000,11391677.239834966000000,-87.141664521747458,55.466669090229622
318,FWS 59_3_4_na,58628.594062336080000,11600012.964677719000000,-87.595833789928975,55.466669090480821
319,FWS 59_3_5_na,58628.593396660232000,11600012.868191665000000,-88.054163936326447,55.466669090464123
320,FWS 59_3_6_na,57585.952600610712000,11391485.529482625000000,-88.508329441061363,55.466669090737632
321,FWS 59_3_7_na,58629.786406003172000,11600253.115070602000000,-88.962499615126234,55.466669090301274
322,FWS 59_3_8_na,58628.592422228990000,11600013.402553655000000,-89.420834549475686,55.466669090522750
323,FWS 59_3_9_na,58211.727127512386000,11516641.312453315000000,-89.877499576062988,55.466669090311498
324,FWS 59_3_10_na,56959.941838436273000,11266283.404777886000000,-90.327499411449821,55.466669089985409
325,FWS 59_3_11_na,57585.955371788099000,11391483.771393161000000,-90.774999372159726,55.466669083587668
326,FWS 59_4_1_na,57785.011899283694000,11431297.282353897000000,-87.729170074041178,56.016672137230927
327,FWS 59_4_2_na,57782.658888545382000,11430827.047343077000000,-88.187499999595985,56.016672142307627
328,FWS 59_4_3_na,56757.487481450815000,11225791.498901200000000,-88.641664461427411,56.016672141360964
329,FWS 59_4_4_na,56756.546392310243000,11225604.186759656000000,-89.091669087164988,56.016672142182259
330,FWS 59_4_5_na,58811.122104369584000,11636518.388558717000000,-89.549999247695382,56.016672142686936
331,FWS 59_4_6_na,57785.014223017140000,11431298.624625456000000,-90.012498654032669,56.016672137349254
332,FWS 59_5_1_na,57910.358552880702000,11456366.895812143000000,-88.027079823496322,56.266672137655789
333,FWS 59_5_2_na,58930.896786981095000,11660473.922442099000000,-88.493744921519138,56.266672143863268
334,FWS 59_5_3_na,57400.789085010889000,11354451.426579427000000,-88.958330145466064,56.266672142757074
335,FWS 59_5_4_na,57400.788926691363000,11354453.622138912000000,-89.416669626766875,56.266672137302521
336,FWS 59_6_1_na,57899.507647099257000,11454193.210914247000000,-88.679165070419330,56.600000383780731
337,FWS 59_6_2_na,58910.267510500358000,11656349.283677718000000,-89.149999378840050,56.600000384973242
338,FWS 62_4_1_na,10355.010848807420000,1925416.995124389900000,-67.494434916356539,45.300109647138996
339,FWS 62_5_1_na,17328.834488398643000,3223621.627729468000000,-67.715245717099165,45.633503905544941
340,FWS 62_6_1_na,11307.715160092052000,2112863.496895208500000,-67.814457143728916,45.900102798481136
341,FWS 62_7_1_na,10123.853602577636000,1881905.570022882200000,-67.810958268366250,46.200099738290973
342,FWS 62_8_1_na,11064.297651625142000,2069990.797280764400000,-67.814172290571790,46.500092300838958
343,FWS 62_9_1_na,12064.007747719321000,2269943.235353269100000,-67.817620312581610,46.800095342425088
344,FWS 62_10_1_na,11955.611008779457000,2240984.314580644000000,-67.917373183844077,47.100106686179146
345,FWS 63_1_1_na,60644.908785719163000,12003276.442808306000000,-65.553574700433003,45.450086592056962
346,FWS 63_1_2_na,60644.920416806141000,12003277.758307271000000,-65.928584006755756,45.450077055210961
347,FWS 63_1_3_na,61132.833263687375000,12100864.037294688000000,-66.521675261649975,45.416742323332073
348,FWS 63_1_4_na,61108.954233477016000,12096088.991085755000000,-66.899430297229372,45.416742326858859
349,FWS 63_1_5_na,61137.374150532647000,12101771.302907322000000,-67.277199625714502,45.416736600666205
350,FWS 63_2_1_na,60075.379531688923000,11889371.404084072000000,-64.837719106407178,45.700082777535400
351,FWS 63_2_2_na,60340.117901093625000,11942318.031309720000000,-65.211899778558035,45.700082780651336
352,FWS 63_2_3_na,60995.202444752773000,12073336.170341831000000,-65.588999783247431,45.700082780791270
353,FWS 63_2_4_na,59681.434000809575000,11810582.060795307000000,-65.964009184817186,45.700077055336983
354,FWS 63_2_5_na,60782.771619568804000,12030849.584726878000000,-66.855024488232218,45.700065611307977
355,FWS 63_2_6_na,60759.043921652556000,12026104.248305468000000,-67.232779521686524,45.700056078208540
356,FWS 63_2_7_na,60785.784807848693000,12031453.167144476000000,-67.610544077331653,45.700056074717921
357,FWS 63_3_1_na,59547.249509485897000,11783744.095606823000000,-64.118779301301231,45.983400343437857
358,FWS 63_3_2_na,59574.139181171100000,11789123.583507426000000,-64.491044073642755,45.983400346959286
359,FWS 63_3_3_na,59547.545326701118000,11783804.969790984000000,-64.863309766588159,45.983406065437052
360,FWS 63_3_4_na,60536.953355191610000,11981686.259963807000000,-65.304989958383402,45.900079725754892
361,FWS 63_3_5_na,60513.317353981205000,11976959.633689011000000,-65.682754550458739,45.900075914514943
362,FWS 63_3_6_na,60536.962645924745000,11981688.633795468000000,-66.060519124029966,45.900072096465173
363,FWS 63_3_9_na,59948.154921677175000,11863925.770613208000000,-67.220279841665331,46.016721723803130
364,FWS 63_3_10_na,59951.136701577467000,11864522.846922571000000,-67.595289108693819,46.016721723798042
365,FWS 63_4_1_na,60231.281249828557000,11920549.055676749000000,-64.938964110289845,46.316740032914488
366,FWS 63_4_2_na,60231.281174846095000,11920550.956667306000000,-65.318154360673304,46.316740038537176
367,FWS 63_4_3_na,60226.539540569604000,11919605.125837082000000,-65.697329544078968,46.316736223446313
368,FWS 63_4_4_na,60228.034563845089000,11919902.396646133000000,-66.076494251290441,46.316726686822939
369,FWS 63_4_5_na,60229.821386287149000,11920259.910120748000000,-66.455669422617092,46.316720964946541
370,FWS 63_4_6_na,60231.304531059861000,11920556.699555954000000,-66.834855107410064,46.316720964957767
371,FWS 63_4_7_na,60228.041276978693000,11919904.004539080000000,-67.214035050717925,46.316720964499964
372,FWS 63_4_8_na,60229.528281609884000,11920200.377962444000000,-67.593209149840604,46.316715238956540
373,FWS 63_5_1_na,59856.776784571724000,11845646.505427148000000,-64.938959350597543,46.616731640771988
374,FWS 63_5_2_na,59853.534249787575000,11845004.431299211000000,-65.318129567044295,46.616731646233333
